,File name,ECl,# AP evoked-120,# AP evoked-110,# AP evoked-100,# AP evoked-90,# AP evoked-80,# AP evoked-70,# AP evoked-60,# AP evoked-50,# AP evoked-40
22,23919009.abf,,0.0,11.0,15.0,0.0,14.0,2.0,2.3333333333333335,3.0,4.0
23,23919014.abf,,0.0,0.0,4.0,5.0,5.0,2.0,1.0,0.0,0.0
24,23919019.abf,-65.726318359375,0.0,0.0,0.0,3.6666666666666665,3.0,1.0,0.0,0.0,0.0
25,23919031.abf,,0.0,0.0,0.0,0.0,11.0,2.0,1.0,0.0,0.0
26,23919037.abf,,0.0,0.0,0.0,0.0,0.0,0.0,2.4285714285714284,4.2,6.666666666666667
27,23919043.abf,,0.0,0.0,0.0,10.0,0.0,0.0,1.5,0.0,0.0
28,23919049.abf,,0.0,0.0,0.0,11.0,8.5,1.6666666666666667,2.0,0.0,0.0
29,23919058.abf,-67.89306640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,23919068.abf,,0.0,0.0,13.0,13.0,14.0,3.6666666666666665,3.0,0.0,0.0
31,23921003.abf,-71.292724609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,23921008.abf,-69.559326171875,0.0,0.0,0.0,9.0,2.0,0.0,0.0,0.0,0.0
33,23921013.abf,-65.225830078125,0.0,0.0,0.0,4.5,7.0,0.0,0.0,0.0,0.0
34,23921018.abf,-68.228759765625,0.0,0.0,5.0,5.0,4.0,0.0,0.0,0.0,0.0
35,23921023.abf,-62.943115234375,0.0,0.0,0.0,11.0,10.0,1.0,0.0,0.0,0.0
36,23921041.abf,,0.0,0.0,14.0,16.5,12.0,0.0,0.0,0.0,0.0
37,23921046.abf,-93.973388671875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,23921051.abf,-86.417236328125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,23921056.abf,-84.195556640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
40,23o13003.abf,-60.782470703125,0.0,0.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0
41,23o13009.abf,-77.36572265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,23o13016.abf,,0.0,0.0,0.0,0.0,3.0,0.3333333333333333,0.0,0.0,0.0
43,23o13021.abf,-79.556884765625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,23o13026.abf,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
45,23o13030.abf,-64.810791015625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,23o13036.abf,-84.42138671875,0.0,0.0,0.0,0.0,0.0,0.0,1.3333333333333333,4.25,1.375
47,23o13041.abf,-65.701904296875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
48,23o13046.abf,,0.0,0.0,0.0,0.0,2.5,0.0,0.6666666666666666,2.0,0.0
49,23o13053.abf,,0.0,0.0,0.0,7.0,0.0,0.0,0.3333333333333333,0.0,0.0
50,23o13058.abf,-109.000244140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,23o16004.abf,,0.0,0.0,0.0,0.0,7.0,1.0,0.0,0.0,0.0
52,23o16008.abf,-76.8408203125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
53,23o16013.abf,,0.0,0.0,11.0,10.5,0.0,2.75,4.0,7.0,0.0
54,23o16018.abf,,0.0,0.0,0.0,0.0,0.0,1.5,3.5,5.0,0.0
55,23o16022.abf,-78.189697265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,23o16027.abf,,0.0,0.0,8.0,9.0,6.0,2.3333333333333335,2.3333333333333335,0.0,0.0
57,23o16032.abf,-67.996826171875,0.0,0.0,0.0,0.0,0.0,0.2,0.3333333333333333,0.0,0.0
58,23o16037.abf,,0.0,0.0,0.0,13.0,10.0,4.5,3.0,0.0,0.0
59,23o19012.abf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.0
60,23o19018.abf,-67.3681640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,23o19028.abf,-64.45068359375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,23o19032.abf,-82.303466796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,23o19037.abf,-72.58056640625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,23o19042.abf,-74.881591796875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
65,23o19058.abf,,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
66,23o19063.abf,,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0
67,23o19070.abf,-80.093994140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,23o19081.abf,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
