,File name,Latency,ECl,-105,-100,-95,-90,-85,-80,-75,-70,-65,-60,-55,-50,-45,-40,-35,-30,-25,-20
9,23916004.abf,5.1,-72.6130937787038,-159.56907653808594,-73.97704315185547,-88.94651794433594,-80.811767578125,-42.723384857177734,-44.31761932373047,-15.007322311401367,16.429443359375,39.724117279052734,51.77855682373047,84.48363494873047,118.49729919433594,147.550048828125,150.96435546875,130.57611083984375,,,
10,23916015.abf,6.1,-77.29260148967352,-57.452392578125,-38.347198486328125,-30.24176025390625,-21.754150390625,-18.861114501953125,-12.03125,10.187957763671875,19.13330078125,38.828125,61.28661346435547,67.03734588623047,105.11351013183594,79.51173400878906,66.35867309570312,54.68377685546875,67.42193603515625,49.2332763671875,
11,23916020.abf,6.2,-73.28559144111549,-25.179443359375,-22.899169921875,-23.491207122802734,-15.897216796875,-11.81640625,-9.093016624450684,-7.305907726287842,14.001462936401367,17.966304779052734,28.09814453125,38.6083984375,46.761474609375,94.92186737060547,83.76344299316406,59.77783203125,,,
12,23916027.abf,5.7,-72.39360743556873,-40.531005859375,-42.587890625,-33.076171875,-26.480709075927734,-22.738037109375,-21.700435638427734,-13.875730514526367,12.742919921875,19.012447357177734,34.89379119873047,42.66844940185547,75.914306640625,85.989990234375,66.21337890625,,,,
13,23916033.abf,4.2,-72.8398513805288,-59.42382049560547,-40.698238372802734,-36.748043060302734,-31.004636764526367,-32.21435546875,-19.869382858276367,-12.069090843200684,15.866697311401367,18.878171920776367,35.933834075927734,72.48900604248047,76.732177734375,114.59227752685547,82.67453002929688,74.10028076171875,85.7177734375,67.23382568359375,57.0946044921875
14,23916038.abf,4.5,-72.15569259664926,-46.94580078125,-36.658935546875,-23.995361328125,-27.336421966552734,-17.019041061401367,-13.663329124450684,-11.052244186401367,8.37646484375,13.4716796875,36.10472869873047,33.93798828125,70.49807739257812,61.636962890625,46.11083984375,,,,
15,23916044.abf,4.3,-87.54813014480531,-18.975830078125,-12.12890625,-8.554685592651367,-6.46728515625,6.721190452575684,9.130858421325684,14.296874046325684,21.340330123901367,29.151607513427734,39.173580169677734,44.541011810302734,81.04734802246094,96.30370330810547,104.59715270996094,65.201416015625,67.77346801757812,,
16,23916054.abf,4.0,-72.87684998213444,-54.43114471435547,-37.77953338623047,-36.505126953125,-26.022945404052734,-27.698970794677734,-20.360105514526367,-9.281004905700684,12.575681686401367,34.442138671875,48.13597869873047,67.359619140625,105.23313903808594,89.96824645996094,92.25827026367188,,,,
17,23919005.abf,3.7,-33.460053187420854,-336.4660339355469,-230.99972534179688,-205.56268310546875,-238.22625732421875,-180.357666015625,-184.658203125,-157.59519958496094,-134.39454650878906,-147.38282775878906,-107.00929260253906,-111.97265625,-93.91478729248047,-70.25389862060547,-42.880855560302734,-23.754880905151367,53.374019622802734,63.189697265625,74.677734375
18,23919010.abf,3.9,-51.48327127833301,-230.48214721679688,-222.81369018554688,-194.86325073242188,-207.20822143554688,-221.63204956054688,-136.08152770996094,-150.48094177246094,-125.29661560058594,-100.60424041748047,-77.59886932373047,-65.20629119873047,27.502439498901367,53.392330169677734,68.84765625,114.503173828125,-63.71697998046875,,
19,23919015.abf,5.0,-52.11571503316653,-874.6312255859375,-570.0902709960938,-505.49554443359375,-501.22186279296875,-377.15570068359375,-365.5199890136719,-289.1991882324219,-230.93380737304688,-171.28660583496094,-110.55174255371094,-52.626949310302734,38.603546142578125,75.986328125,75.784912109375,122.7490234375,119.77178955078125,110.8458251953125,115.794677734375
20,23919020.abf,3.4,-61.788037442487706,-182.545166015625,-106.75170135498047,-95.30882263183594,-83.18846130371094,-112.21189880371094,-73.80614471435547,-62.48900604248047,-40.104976654052734,-34.598388671875,19.26025390625,59.55565643310547,88.28367614746094,89.5654296875,98.958740234375,,,,
21,23919032.abf,4.3,-47.50069979378114,-116.35375213623047,-99.99510955810547,-74.91210174560547,-56.7041015625,-57.333980560302734,-51.874996185302734,-49.36766815185547,-37.0361328125,-30.703121185302734,-16.977537155151367,-20.246580123901367,-58.85619354248047,58.88915252685547,-1668.8365478515625,,,,
22,23919038.abf,3.9,-66.81828742242911,-127.22898864746094,-100.93627166748047,-81.35863494873047,-73.30809783935547,-48.36181640625,-53.475337982177734,-34.414058685302734,-16.701658248901367,9.544675827026367,34.698482513427734,42.871089935302734,80.23314666748047,181.83348083496094,151.546630859375,153.221435546875,102.55374145507812,112.07037353515625,79.4874267578125
23,23919044.abf,6.0,-52.3889835674654,-97.89915466308594,-72.23509216308594,-90.90574645996094,-33.870845794677734,-73.531494140625,-41.109615325927734,-42.325435638427734,-44.25170135498047,-25.120847702026367,-27.305906295776367,-28.422847747802734,26.005855560302734,65.396728515625,71.512451171875,46.195037841796875,34.515350341796875,,
24,23919050.abf,4.2,-47.60065517997751,-242.31198120117188,-159.61300659179688,-141.259765625,-146.61376953125,-118.61326599121094,-99.21507263183594,-93.39965057373047,-71.47582244873047,-75.83007049560547,-61.391597747802734,-58.90380096435547,-35.0341796875,37.97362518310547,-77.92478942871094,70.38327026367188,57.579345703125,-37.60125732421875,63.54364013671875
25,23919059.abf,3.1,-67.93800633891577,-45.02806854248047,-29.710693359375,-38.900142669677734,-23.509517669677734,-17.327880859375,-13.148191452026367,-11.434324264526367,-7.519530296325684,10.714110374450684,13.494871139526367,21.671138763427734,32.218017578125,57.10692596435547,43.110382080078125,50.234375,27.557342529296875,41.40625,
26,23919069.abf,4.3,-56.46413892927218,-217.38400268554688,-157.12765502929688,-130.770263671875,-137.5146484375,-132.784423828125,-116.03759002685547,-71.13524627685547,-72.35472106933594,-56.665035247802734,-43.305660247802734,17.932125091552734,60.36009979248047,63.34838104248047,63.812255859375,82.40966796875,55.77880859375,,
27,23921004.abf,3.9,-68.97499350594651,-172.154541015625,-122.02146911621094,-103.42283630371094,-104.15892028808594,-68.81591033935547,-45.478511810302734,-28.836666107177734,-9.757080078125,37.838130950927734,73.40574645996094,92.17040252685547,138.70849609375,206.22068786621094,214.26271057128906,230.321044921875,199.921875,209.40301513671875,
28,23921009.abf,3.9,-68.6035422681681,-186.02413940429688,-152.523193359375,-125.46630096435547,-113.78661346435547,-84.87547302246094,-64.98900604248047,-31.922603607177734,-12.762449264526367,32.933345794677734,71.34398651123047,118.52782440185547,169.87303161621094,184.219970703125,150.97528076171875,106.429443359375,124.40673828125,,
29,23921014.abf,4.0,-67.68276724948545,-116.83104705810547,-88.21532440185547,-95.36864471435547,-68.61327362060547,-49.238277435302734,-47.011714935302734,-23.906248092651367,-13.387449264526367,15.499267578125,39.553218841552734,67.808837890625,98.07006072998047,,,,,,
30,23921019.abf,4.0,-66.82629151063061,-283.4179382324219,-198.13963317871094,-193.02366638183594,-181.96409606933594,-113.02245330810547,-115.16355895996094,-62.42552947998047,-31.875,18.34227752685547,65.69580078125,144.03077697753906,127.432861328125,212.41455078125,178.138427734375,,,,
31,23921024.abf,3.7,-63.4142063192105,-215.75193786621094,-165.87889099121094,-156.744384765625,-126.322021484375,-107.615966796875,-88.08959197998047,-58.36669158935547,-36.622314453125,-14.79248046875,31.848140716552734,83.66454315185547,-86.51244354248047,-97.91990661621094,525.3369140625,97.137451171875,,,
32,23921042.abf,3.1,-68.09674678616692,-591.8810424804688,-364.7216491699219,-351.0912780761719,-279.7326354980469,-240.44430541992188,-174.84739685058594,-102.61351776123047,-32.851558685302734,53.45214080810547,131.03025817871094,313.7145690917969,394.9023132324219,460.0219421386719,423.80615234375,417.6635437011719,337.19976806640625,,
33,23921047.abf,7.3,-97.35170594623885,-8.804929733276367,-3.695068359375,3.281249761581421,4.16259765625,4.6044921875,4.907225608825684,5.965576171875,5.869140625,8.861082077026367,9.108884811401367,9.35791015625,11.2939453125,16.263427734375,16.821285247802734,17.236324310302734,18.304443359375,29.564208984375,15.592033386230469
34,23921052.abf,3.8,-78.79425762656436,-61.909175872802734,-46.652828216552734,-30.855710983276367,-13.391112327575684,-20.378416061401367,-6.376952171325684,20.067138671875,30.904539108276367,43.442378997802734,57.414546966552734,73.03221130371094,99.85717010498047,129.88526916503906,73.97705078125,100.26251220703125,,,
35,23921057.abf,5.9,-77.54114345704551,-13.413082122802734,-7.652587890625,-11.875,-7.30224609375,-7.753905296325684,-7.076415538787842,7.313231468200684,-6.099853515625,10.308837890625,18.753662109375,22.940671920776367,31.470943450927734,33.8916015625,,,,,
36,23o13004.abf,4.0,-62.41291604552391,-167.55368041992188,-157.21920776367188,-122.79784393310547,-114.85105895996094,-97.13988494873047,-81.95555114746094,-65.013427734375,-31.170650482177734,-18.621824264526367,17.3681640625,57.535396575927734,101.56493377685547,127.68186950683594,122.548828125,113.143310546875,100.472412109375,103.07977294921875,
37,23o13010.abf,4.4,-73.23788556205153,-70.10009002685547,-58.10424041748047,-40.532222747802734,-41.166988372802734,-37.899169921875,-26.557615280151367,-10.937499046325684,20.09765625,35.289302825927734,53.33251190185547,63.514404296875,97.55860900878906,81.92138671875,123.97210693359375,72.6220703125,122.1094970703125,,
