,File name,Stim firing rate change,NoStim firing rate change,Stim relative firing rate change,NoStim relative firing rate change
56,23o19011.abf,-20.624125810285474,-1.4714435847501797,-73.22956023275682,-5.330063549039594
57,23o19027.abf,-28.493208647359467,1.1943789945851364,-78.49220748069368,3.4018495638169353
58,23o19031.abf,-30.237886612013124,-1.1913437221836602,-79.70076096052765,-3.1409713713136
59,23o19036.abf,-23.221807200839827,-0.5387710493533149,-61.20423712603126,-1.418041516094483
60,23o19041.abf,-41.34528931334041,-1.8705656648643512,-79.51637468442331,-3.6848470449254
61,23o19046.abf,-22.611557024641826,-1.8812297087942795,-57.82968350119112,-4.668928571214865
62,23o19057.abf,-12.850806038889608,-1.49946941823724,-21.58176782432054,-2.550205709848007
63,23o19062.abf,-23.122719403047885,0.7736178039255179,-70.25444822974077,2.416750245738315
64,23o19069.abf,-17.59750052187121,1.3072625055302147,-59.14651425400839,4.567290216478455
65,23o19080.abf,1.5170518767256453,2.007026467968032,3.1067819138121733,4.197995367527916
